               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10777,             0.10164,            0.059393,           0.0083414,             0.37116,            0.014757,           0.0038986,            0.089386,            0.069956,             0.05191,              0.0757,              0.0027,              0.0027
                   1,             0.08345,            0.095449,            0.044557,             0.17048,             0.14162,            0.031368,            0.008861,            0.081965,            0.091555,            0.049002,            0.050473,           0.0054728,           0.0054728
                   2,            0.075691,            0.081784,            0.040484,             0.66207,             0.15402,            0.093925,            0.025953,            0.079866,            0.066672,            0.039271,            0.025218,           0.0082178,           0.0082178
                   3,            0.073502,            0.080074,             0.03566,             0.08155,             0.36807,            0.076553,            0.024853,            0.070724,             0.06752,             0.03497,           0.0098515,           0.0098515,           0.0098515
                   4,            0.066549,            0.083125,             0.03173,             0.46239,             0.24501,             0.18222,            0.064045,            0.059588,            0.062581,            0.031049,           0.0098515,           0.0098515,           0.0098515
                   5,             0.06231,            0.073605,             0.02991,             0.58707,               0.212,             0.19505,            0.076353,            0.060608,            0.055826,             0.02674,            0.009802,            0.009802,            0.009802
                   6,            0.057574,            0.080493,            0.024746,             0.78964,              0.2281,             0.24613,             0.10156,            0.050997,            0.060155,            0.024701,           0.0097525,           0.0097525,           0.0097525
                   7,            0.054553,            0.076279,            0.023196,             0.76481,             0.22613,             0.21466,            0.077848,            0.056101,            0.059196,            0.023015,            0.009703,            0.009703,            0.009703
                   8,            0.052512,            0.077601,            0.021422,             0.22355,             0.39369,             0.26421,             0.11838,            0.050383,            0.058245,            0.020764,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051892,            0.071598,            0.019673,             0.44348,             0.39719,             0.29884,             0.12071,            0.054746,             0.05829,            0.019452,            0.009604,            0.009604,            0.009604
                  10,            0.049856,            0.068096,            0.018449,              0.4085,             0.46601,             0.38638,             0.17216,            0.049231,            0.056029,            0.017356,           0.0095545,           0.0095545,           0.0095545
                  11,            0.049399,            0.071448,            0.017248,             0.49433,             0.45022,             0.39887,             0.19825,            0.049245,            0.056218,            0.015661,            0.009505,            0.009505,            0.009505
                  12,            0.047646,            0.066314,             0.01643,             0.66692,             0.40987,             0.41474,             0.18344,            0.046494,            0.055793,            0.014631,           0.0094555,           0.0094555,           0.0094555
                  13,            0.045975,            0.067066,            0.014416,             0.71332,             0.40812,             0.43346,             0.19634,            0.046159,            0.055819,            0.014125,            0.009406,            0.009406,            0.009406
                  14,            0.046746,            0.069907,            0.013993,             0.82252,             0.43776,             0.51524,             0.25332,            0.044728,            0.053376,             0.01287,           0.0093565,           0.0093565,           0.0093565
                  15,            0.046339,            0.068125,            0.012059,             0.74338,             0.42277,              0.4817,             0.22971,            0.047759,             0.05592,             0.01271,            0.009307,            0.009307,            0.009307
                  16,            0.045443,            0.059513,            0.012106,             0.80092,             0.45099,             0.52499,             0.27197,            0.045319,            0.056281,            0.011861,           0.0092575,           0.0092575,           0.0092575
                  17,            0.043259,            0.064407,             0.01151,             0.43993,             0.56458,             0.49876,             0.24408,             0.04687,            0.057061,            0.012873,            0.009208,            0.009208,            0.009208
